land_fac;Verfahren_gesamt;davon_BB;davon_RR;BE_Gesamt;BIP_Mill_Euro
Bayern;2727;2260;467;1651;618432
Baden-Württemberg;806;595;211;370;514432
Nordrhein-Westfalen;721;704;17;214;701 108
Schlewsig-Holstein;461;47;54;262;94869
Hessen;428;426;2;155;285590
Sachsen;317;227;90;164;124910
Niedersachsen;303;31;2;94;296660
Brandenburg;259;148;111;166;72567
Sachsen-Anhalt;249;95;154;183;62033
Rheinland-Pfalz;200;184;16;89;143015
Thüringen;179;179;0;50;62101
Mecklenburg-Vorpommern;127;92;35;55;44253
Hamburg;118;108;10;25;118484
Berlin;38;37;1;12;149365
Saarland;16;16;0;0;35744
Bremen;9;9;0;1;32847
